epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4285,3.67452,4.13477,4.4092,0,0,0,0,4.22133,3.94124,4.08743,0.0704225,0.00328638,0.00328638
2,88.9374,2.85344,2.49535,3.37745,0.51824,0.44489,0.49652,0.12708,2.48766,1.95729,2.58007,0.0403898,0.00658695,0.00658695
3,122.922,2.23681,1.97767,2.84584,0.42153,0.63521,0.3624,0.11492,2.33383,20.7844,4.42996,0.010324,0.00985452,0.00985452
4,156.964,1.90624,1.51981,2.50055,0.03871,0.17391,0.03729,0.02151,1.81958,42.412,2.66332,0.0098515,0.0098515,0.0098515
5,191.165,1.62128,1.21088,2.22864,0.55887,0.71473,0.69024,0.38223,1.54451,2.83049,2.46015,0.009802,0.009802,0.009802
6,225.101,1.44052,1.02142,2.03775,0.83077,0.87461,0.92925,0.46135,1.82227,1.44782,2.62628,0.0097525,0.0097525,0.0097525
7,259.441,1.31945,0.9031,1.88135,0.95454,0.97983,0.99021,0.60654,1.39505,1.30972,2.13073,0.009703,0.009703,0.009703
8,293.022,1.25689,0.83628,1.80914,0.97692,0.98729,0.99311,0.61843,1.32874,1.14291,1.98356,0.0096535,0.0096535,0.0096535
9,327.071,1.17004,0.78019,1.73768,0.96625,0.99046,0.9912,0.70366,1.00779,1.01881,1.76969,0.009604,0.009604,0.009604
10,361.081,1.13447,0.7272,1.67573,0.9846,0.99576,0.99352,0.708,1.05579,0.7555,1.74324,0.0095545,0.0095545,0.0095545
11,395.14,1.08345,0.67702,1.63177,0.98735,0.99294,0.99369,0.73741,0.91186,0.76372,1.58178,0.009505,0.009505,0.009505
12,429.611,1.04373,0.64655,1.58332,0.84447,0.88672,0.86522,0.45774,1.41895,1.55012,2.00639,0.0094555,0.0094555,0.0094555
13,464.709,1.03643,0.63482,1.57084,0.99044,0.98886,0.99459,0.76064,0.88437,0.58637,1.64593,0.009406,0.009406,0.009406
14,500.044,1.0072,0.62177,1.55409,0.98321,0.99384,0.99439,0.76366,0.88581,0.66978,1.55461,0.0093565,0.0093565,0.0093565
15,535.374,0.97079,0.58867,1.51342,0.96617,0.98727,0.99205,0.72789,1.04696,0.81565,1.7641,0.009307,0.009307,0.009307
16,569.999,0.96084,0.5815,1.50679,0.9852,0.98859,0.99394,0.79883,0.83776,0.61333,1.58034,0.0092575,0.0092575,0.0092575
17,604.297,0.94899,0.57123,1.48829,0.98507,0.9947,0.99384,0.79858,0.80144,0.56989,1.46069,0.009208,0.009208,0.009208
18,639.116,0.92295,0.56047,1.46201,0.99471,0.99759,0.99483,0.80903,0.72259,0.47844,1.41394,0.0091585,0.0091585,0.0091585
19,674.051,0.89636,0.54651,1.45198,0.99472,0.99831,0.99476,0.82583,0.74326,0.48246,1.4601,0.009109,0.009109,0.009109
20,709.015,0.88651,0.5338,1.42714,0.97299,0.99314,0.99365,0.82603,0.67273,0.49922,1.35901,0.0090595,0.0090595,0.0090595
21,743.532,0.88096,0.53412,1.42203,0.99443,0.99788,0.99469,0.82189,0.73009,0.47342,1.403,0.00901,0.00901,0.00901
22,778.36,0.86325,0.5212,1.409,0.99577,0.99876,0.99419,0.79555,0.73555,0.46664,1.44716,0.0089605,0.0089605,0.0089605
23,812.743,0.86005,0.51335,1.41597,0.99531,0.99894,0.99447,0.81229,0.71333,0.44261,1.42607,0.008911,0.008911,0.008911
24,846.767,0.83027,0.50589,1.36894,0.99788,0.99807,0.99486,0.8249,0.69233,0.42371,1.36075,0.0088615,0.0088615,0.0088615
25,881.483,0.83723,0.49901,1.38358,0.9933,0.99788,0.99487,0.8116,0.75723,0.47572,1.44691,0.008812,0.008812,0.008812
26,915.594,0.82662,0.50129,1.36978,0.9985,0.99894,0.99471,0.84942,0.62069,0.39837,1.29821,0.0087625,0.0087625,0.0087625
27,949.528,0.80936,0.47868,1.3632,0.99708,0.99894,0.99495,0.84654,0.6188,0.40968,1.29392,0.008713,0.008713,0.008713
28,984.061,0.80287,0.48379,1.35663,0.99738,0.99894,0.99488,0.84756,0.62984,0.40499,1.29819,0.0086635,0.0086635,0.0086635
29,1018.07,0.80271,0.47549,1.35976,0.99261,0.99788,0.99482,0.83296,0.68318,0.48315,1.38733,0.008614,0.008614,0.008614
30,1051.8,0.78647,0.47279,1.33183,0.99575,0.99367,0.99432,0.84147,0.6484,0.42152,1.31395,0.0085645,0.0085645,0.0085645
31,1086.43,0.79684,0.47736,1.3435,0.99753,0.99788,0.9944,0.82565,0.71525,0.43044,1.36193,0.008515,0.008515,0.008515
32,1120.58,0.78312,0.4711,1.33711,0.99786,0.99894,0.99498,0.84921,0.63106,0.3801,1.28904,0.0084655,0.0084655,0.0084655
33,1154.38,0.76986,0.47147,1.31992,0.94063,0.9597,0.98566,0.81069,0.70925,0.50205,1.36254,0.008416,0.008416,0.008416
34,1188.68,0.76642,0.45495,1.3192,0.9968,0.99894,0.99484,0.853,0.58588,0.42232,1.27847,0.0083665,0.0083665,0.0083665
35,1223.32,0.76455,0.45368,1.33056,0.99715,0.99894,0.99459,0.84561,0.60772,0.55177,1.28875,0.008317,0.008317,0.008317
36,1258.32,0.77554,0.45424,1.3214,0.99938,0.99894,0.995,0.85163,0.65574,0.37398,1.30726,0.0082675,0.0082675,0.0082675
37,1292.95,0.76158,0.45297,1.30905,0.99867,0.99894,0.99479,0.86258,0.59832,0.36919,1.27942,0.008218,0.008218,0.008218
38,1328.24,0.74407,0.4366,1.29978,0.99775,0.99894,0.99481,0.86916,0.58891,0.37295,1.26954,0.0081685,0.0081685,0.0081685
39,1362.65,0.75149,0.44648,1.30155,0.97628,0.98197,0.99415,0.8384,0.65445,0.48427,1.33204,0.008119,0.008119,0.008119
40,1397.25,0.74134,0.43597,1.30539,0.9959,0.99894,0.99494,0.86758,0.55472,0.34332,1.22969,0.0080695,0.0080695,0.0080695
41,1432.49,0.74417,0.42853,1.29396,0.99988,0.99894,0.995,0.86609,0.55119,0.35658,1.23316,0.00802,0.00802,0.00802
42,1468.03,0.73323,0.42471,1.29254,0.99754,0.99894,0.99494,0.84544,0.62079,0.38726,1.27387,0.0079705,0.0079705,0.0079705
43,1502.83,0.72239,0.42459,1.28623,0.99661,0.99894,0.99495,0.86715,0.59203,0.3625,1.24775,0.007921,0.007921,0.007921
44,1537.95,0.73114,0.42708,1.28422,0.95601,0.991,0.98717,0.69976,0.88942,0.60945,1.52553,0.0078715,0.0078715,0.0078715
45,1573.99,0.72471,0.42022,1.2805,0.99992,0.99894,0.995,0.87503,0.53488,0.32982,1.23002,0.007822,0.007822,0.007822
46,1609.08,0.72691,0.42118,1.2783,0.99953,0.99894,0.995,0.87931,0.53203,0.33514,1.20518,0.0077725,0.0077725,0.0077725
