epoch,TP,FP,FN
1,0.0,,1.0
2,0.69141,0.8963592554999311,0.30859000000000003
3,0.55037,0.4152083434797102,0.44963
4,0.78701,0.1601221635737839,0.21299
5,0.79958,0.5490344141409029,0.20042000000000004
6,0.87916,0.05620615207839047,0.12083999999999995
7,0.91697,0.11240808711270762,0.08303000000000005
8,0.86638,0.07660837563672775,0.13361999999999996
9,0.98409,0.03261592610959583,0.01590999999999998
10,0.97773,0.04573882163904911,0.022270000000000012
11,0.9863,0.014847010160682938,0.013700000000000045
12,0.99152,0.022770829113600295,0.008480000000000043
13,0.97879,0.013645994930291548,0.02120999999999995
14,0.94168,0.07977568933723825,0.05832000000000004
15,0.99525,0.0010560844495164374,0.004750000000000032
16,0.99788,0.0036556049580970967,0.0021200000000000108
17,0.99576,0.01812832321915856,0.0042400000000000215
18,0.96501,0.0522248365062299,0.034989999999999966
19,0.99788,0.005296773363358484,0.0021200000000000108
20,0.9947,0.0007963971176941782,0.005299999999999971
21,0.99639,0.002116834489116939,0.003610000000000002
22,0.99258,0.010907913621060979,0.007419999999999982
23,0.99788,0.0023004149543950775,0.0021200000000000108
24,0.99894,0.0033074164743653756,0.0010599999999999499
25,0.9983,0.0031847214140967883,0.0017000000000000348
26,0.99788,0.00031942381562098573,0.0021200000000000108
27,0.99894,0.004021877127280352,0.0010599999999999499
28,0.99894,0.0031867631066792006,0.0010599999999999499
29,0.99894,0.00023980315275667956,0.0010599999999999499
30,0.99894,0.0029254471055482345,0.0010599999999999499
31,0.99894,0.0015006609914871767,0.0010599999999999499
32,0.99468,0.016965291539110843,0.005319999999999991
33,0.99894,0.0016108869279540063,0.0010599999999999499
34,0.99894,0.0022928231650479742,0.0010599999999999499
35,0.99894,9.99039903990289e-05,0.0010599999999999499
36,0.99582,0.004240255483248997,0.0041799999999999615
37,0.99837,0.0063599405235137884,0.0016300000000000203
38,0.99894,0.0004197310870565397,0.0010599999999999499
39,0.99894,0.00045972387298158745,0.0010599999999999499
40,0.99894,0.0002597919459059735,0.0010599999999999499
41,0.99894,0.00021981515933505169,0.0010599999999999499
42,0.99894,0.0022727529491946663,0.0010599999999999499
43,0.99894,0.00020982146250716997,0.0010599999999999499
44,0.99894,0.00042972898346293055,0.0010599999999999499
45,0.9438,0.05899439421146025,0.05620000000000003
46,0.99894,0.00012987908428092003,0.0010599999999999499
47,0.99894,0.00011988718646238447,0.0010599999999999499
48,0.99682,0.0028691077392115766,0.0031799999999999606
49,0.99894,0.003438157078780261,0.0010599999999999499
50,0.99894,0.0013103279295877935,0.0010599999999999499
51,0.99894,0.0011801417672853555,0.0010599999999999499
52,0.99788,0.0019697039167159576,0.0021200000000000108
53,0.99894,0.00042972898346293055,0.0010599999999999499
54,0.97667,0.06115927943723638,0.023329999999999962
55,0.99894,8.991269214232727e-05,0.0010599999999999499
56,0.99894,0.00026978664239343873,0.0010599999999999499
57,0.99894,0.0003297590204768098,0.0010599999999999499
58,0.99576,0.013954250948102835,0.0042400000000000215
59,0.99894,0.00011988718646238447,0.0010599999999999499
60,0.99788,0.002210199340542645,0.0021200000000000108
61,0.99894,0.0004197310870565397,0.0010599999999999499
62,0.99894,0.00010989548850378987,0.0010599999999999499
63,0.99894,8.991269214232727e-05,0.0010599999999999499
64,0.99894,0.00039973589435769903,0.0010599999999999499
65,0.99894,0.0003297590204768098,0.0010599999999999499
66,0.99894,9.99039903990289e-05,0.0010599999999999499
67,0.99894,0.0003197631241997309,0.0010599999999999499
68,0.99894,6.993069514867489e-05,0.0010599999999999499
69,0.99894,0.005130801797183556,0.0010599999999999499
70,0.99894,0.00023980315275667956,0.0010599999999999499
71,0.99788,0.0017193108146011688,0.0021200000000000108
72,0.99894,0.0007397630246381953,0.0010599999999999499
73,0.99894,9.99039903990289e-05,0.0010599999999999499
74,0.9947,0.01017942861183789,0.005299999999999971
75,0.99894,0.0011701288507553883,0.0010599999999999499
76,0.99787,0.002119978754960527,0.0021299999999999653
77,0.99894,0.00013987118196550415,0.0010599999999999499
78,0.99894,8.991269214232727e-05,0.0010599999999999499
79,0.99894,0.0004797214663038618,0.0010599999999999499
80,0.99894,0.0001798415714828249,0.0010599999999999499
81,0.99894,0.00015985597695636198,0.0010599999999999499
82,0.99894,0.00013987118196550415,0.0010599999999999499
83,0.99894,0.0004197310870565397,0.0010599999999999499
84,0.99894,0.00016984867427463017,0.0010599999999999499
85,0.99894,0.0010800216233531913,0.0010599999999999499
86,0.99894,0.00010989548850378987,0.0010599999999999499
87,0.99894,0.0010599999999999499,0.0010599999999999499
88,0.99894,0.00013987118196550415,0.0010599999999999499
89,0.99894,0.0027245275148403106,0.0010599999999999499
90,0.99894,8.991269214232727e-05,0.0010599999999999499
91,0.99894,0.00010989548850378987,0.0010599999999999499
92,0.99894,6.993069514867489e-05,0.0010599999999999499
93,0.99894,0.010712412092299305,0.0010599999999999499
94,0.99894,0.0004797214663038618,0.0010599999999999499
95,0.99894,9.99039903990289e-05,0.0010599999999999499
96,0.99894,0.0014104941968175351,0.0010599999999999499
97,0.9894,0.029486577554425023,0.010600000000000054
98,0.99894,6.993069514867489e-05,0.0010599999999999499
99,0.99894,9.99039903990289e-05,0.0010599999999999499
100,0.99449,0.006365440602230216,0.005510000000000015
101,0.99894,9.99039903990289e-05,0.0010599999999999499
102,0.99894,0.00039973589435769903,0.0010599999999999499
103,0.99894,7.992159372746721e-05,0.0010599999999999499
104,0.99894,7.992159372746721e-05,0.0010599999999999499
105,0.99894,6.993069514867489e-05,0.0010599999999999499
