epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2374.03,0.63651,0.36674,1.1851,0.99665,0.49894,0.53812,0.48222,2.09115,3.16325,2.38519,0.00898525,0.00898525,0.00898525
43,2431.6,0.64609,0.36607,1.18724,1,0.49944,0.56445,0.51237,2.25339,3.23761,2.49094,0.0089605,0.0089605,0.0089605
44,2489.32,0.63772,0.36343,1.17929,0.99953,0.49947,0.59235,0.52917,2.22052,3.21047,2.45307,0.00893575,0.00893575,0.00893575
45,2546.53,0.62832,0.35692,1.16448,0.99882,0.49947,0.56242,0.50503,2.16007,3.32891,2.43961,0.008911,0.008911,0.008911
46,2603.77,0.64056,0.36134,1.18552,0.99785,0.49947,0.53523,0.48327,2.31374,3.27253,2.55701,0.00888625,0.00888625,0.00888625
47,2661.44,0.63188,0.35388,1.17542,0.99986,0.49947,0.52478,0.46877,2.06986,3.30792,2.36328,0.0088615,0.0088615,0.0088615
48,2718.33,0.63056,0.35689,1.172,0.99668,0.49947,0.53225,0.47849,2.16039,3.35609,2.45866,0.00883675,0.00883675,0.00883675
49,2774.81,0.62522,0.35785,1.16046,0.99683,0.49841,0.50368,0.44957,2.37539,3.35643,2.6224,0.008812,0.008812,0.008812
50,2832.21,0.63406,0.35872,1.17154,0.99707,0.49947,0.51168,0.46324,2.22735,3.23856,2.46613,0.00878725,0.00878725,0.00878725
51,2888.95,0.61366,0.35161,1.15872,0.99884,0.49947,0.52151,0.46892,2.27073,3.33015,2.52383,0.0087625,0.0087625,0.0087625
52,2946.62,0.61704,0.34891,1.16576,0.9978,0.49947,0.55113,0.49954,2.18666,3.31119,2.45802,0.00873775,0.00873775,0.00873775
53,3004.8,0.62147,0.35052,1.17552,0.9988,0.49947,0.5042,0.45617,2.28963,3.65746,2.53903,0.008713,0.008713,0.008713
54,3062.57,0.60853,0.3459,1.15463,0.9976,0.49947,0.63427,0.57354,2.14619,3.35086,2.45091,0.00868825,0.00868825,0.00868825
55,3120.25,0.60601,0.33947,1.14869,0.99792,0.49947,0.53447,0.48005,2.15542,3.39117,2.43425,0.0086635,0.0086635,0.0086635
56,3178.16,0.61271,0.3418,1.16169,0.99988,0.49947,0.56754,0.51883,2.22662,3.313,2.4424,0.00863875,0.00863875,0.00863875
57,3236.27,0.60296,0.3393,1.14489,0.99941,0.49947,0.50983,0.46331,2.26818,3.54692,2.50935,0.008614,0.008614,0.008614
58,3293.67,0.61767,0.34721,1.15945,0.99854,0.49894,0.55104,0.50031,2.27624,3.33966,2.55791,0.00858925,0.00858925,0.00858925
59,3350.16,0.59562,0.3391,1.13494,0.99871,0.49947,0.62436,0.57338,2.02194,3.31113,2.26491,0.0085645,0.0085645,0.0085645
60,3407.27,0.60733,0.33738,1.15607,0.99967,0.49947,0.57461,0.5239,2.03757,3.28929,2.33414,0.00853975,0.00853975,0.00853975
61,3463.8,0.60258,0.34416,1.1464,1,0.49946,0.58596,0.53384,2.07708,3.31568,2.41366,0.008515,0.008515,0.008515
62,3520.93,0.60564,0.33987,1.1463,0.99974,0.49947,0.53014,0.47885,2.27515,3.41304,2.50865,0.00849025,0.00849025,0.00849025
63,3579.07,0.59947,0.33941,1.15521,0.99977,0.49947,0.53138,0.48605,2.0908,3.26283,2.35097,0.0084655,0.0084655,0.0084655
64,3636.76,0.58754,0.33334,1.1291,0.99906,0.49947,0.53857,0.48283,2.22549,3.28606,2.43877,0.00844075,0.00844075,0.00844075
65,3694,0.59886,0.33493,1.13918,0.99989,0.49947,0.5182,0.47213,2.2934,3.36384,2.52273,0.008416,0.008416,0.008416
66,3748.78,0.59512,0.33229,1.14732,1,0.49935,0.55143,0.50345,2.18424,3.35327,2.42339,0.00839125,0.00839125,0.00839125
67,3800.97,0.58137,0.3312,1.12604,0.99886,0.49947,0.56286,0.51358,2.07051,3.25683,2.28102,0.0083665,0.0083665,0.0083665
68,3853.11,0.59977,0.33312,1.14877,0.99823,0.49947,0.51717,0.46626,2.1945,3.32648,2.43039,0.00834175,0.00834175,0.00834175
69,3905.89,0.5845,0.33006,1.13139,0.99984,0.49947,0.53521,0.48784,2.01584,3.19257,2.25578,0.008317,0.008317,0.008317
70,3958.17,0.59466,0.33299,1.14662,0.99959,0.49947,0.51593,0.46577,2.19208,3.37388,2.38387,0.00829225,0.00829225,0.00829225
71,4009.6,0.59084,0.32801,1.13824,0.99973,0.49947,0.51903,0.47224,2.1469,3.37032,2.33197,0.0082675,0.0082675,0.0082675
